ID,Material,Vision Description Target,Project Idea,Difficulty,Time to Complete,Instructions
420,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Chic No-Sew Produce Bag (Var.909),Intermediate,43 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a highly expanding mesh."
421,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Minimalist Self-Watering Planter (Var.274),Easy,24 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Thyme.
5. Fill the bottom half with water. The string will pull water up to the soil!"
422,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Premium Biodegradable Seed Starters (Var.952),Easy,25 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Mint seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
423,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Minimalist Custom Drawer Organizers (Var.278),Easy,39 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize office supplies."
424,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Rustic Exfoliating Body Scrub (Var.586),Easy,5 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted olive oil.
3. Add 1/4 cup of coarse sea salt for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
425,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Handcrafted Herb Garden Planter (Var.870),Easy,18 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with crimson red acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Basil."
426,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Boho Paper Mache Decorative Bowl (Var.946),Intermediate,73 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it metallic copper."
427,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Bespoke Custom Drawer Organizers (Var.942),Easy,34 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize jewelry."
428,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Dynamic Geometric Cork Board (Var.671),Intermediate,52 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish horizontal linear pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
429,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Bespoke Desktop Terrarium (Var.800),Intermediate,45 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of glass marbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Mint.
6. Mist lightly with a spray bottle and seal the jar tightly."
430,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Bespoke Braided Dog Tug Toy (Var.451),Easy,27 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your large dog."
431,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Bespoke Cat Scratching Pad (Var.867),Intermediate,57 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with valerian root!"
432,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Upcycled Cat Scratching Pad (Var.164),Intermediate,67 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with dried organic organic catnip!"
433,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Premium Biodegradable Seed Starters (Var.994),Easy,23 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Aloe Vera seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
434,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Chic Braided Dog Tug Toy (Var.898),Easy,24 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your medium dog."
435,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Upcycled Biodegradable Seed Starters (Var.879),Easy,15 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Rosemary seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
436,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Dynamic No-Sew Produce Bag (Var.239),Intermediate,38 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a durable mesh."
437,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Bespoke Iridescent Mosaic Coasters (Var.369),Intermediate,63 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with clear epoxy resin and wipe the surface clean. Let it cure."
438,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Aesthetic Iridescent Mosaic Coasters (Var.116),Intermediate,52 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with clear epoxy resin and wipe the surface clean. Let it cure."
439,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Chic Exfoliating Body Scrub (Var.343),Easy,11 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted coconut oil.
3. Add 1/4 cup of coarse white granulated sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
440,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Chic Herb Garden Planter (Var.793),Easy,17 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with crimson red acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Fern."
